frame,time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz)
1,0.002769,4,773.732,75.000,1712.333,85.000,2750.000,160.000,3850.000,210.000
2,0.012769,4,773.732,75.000,1712.333,85.000,2750.000,160.000,3850.000,210.000
3,0.022769,4,773.732,75.000,1712.333,85.000,2750.000,160.000,3850.000,210.000
4,0.032769,4,438.571,75.000,1437.415,85.000,2750.000,160.000,3850.000,210.000
5,0.042769,4,559.437,75.000,1413.008,85.000,2750.000,160.000,3850.000,210.000
6,0.052769,4,496.153,75.000,1476.725,85.000,2750.000,160.000,3850.000,210.000
7,0.062769,4,825.104,75.000,1416.740,85.000,2750.000,160.000,3850.000,210.000
8,0.072769,4,940.434,75.000,1392.891,85.000,2750.000,160.000,3850.000,210.000
9,0.082769,4,953.759,75.000,1391.221,85.000,2750.000,160.000,3850.000,210.000
10,0.092769,4,945.407,75.000,1453.791,85.000,2750.000,160.000,3850.000,210.000
11,0.102769,4,912.729,75.000,1385.188,85.000,2750.000,160.000,3850.000,210.000
12,0.112769,4,824.665,75.000,1345.919,85.000,2750.000,160.000,3850.000,210.000
13,0.122769,4,773.370,75.000,1425.087,85.000,2750.000,160.000,3850.000,210.000
14,0.132769,4,869.431,75.000,1375.576,85.000,2750.000,160.000,3850.000,210.000
15,0.142769,4,978.417,75.000,1375.143,85.000,2750.000,160.000,3850.000,210.000
16,0.152769,4,927.770,75.000,1347.965,85.000,2750.000,160.000,3850.000,210.000
17,0.162769,4,941.442,75.000,1386.874,85.000,2750.000,160.000,3850.000,210.000
18,0.172769,4,862.676,75.000,1379.345,85.000,2750.000,160.000,3850.000,210.000
19,0.182769,4,853.764,75.000,1409.167,85.000,2750.000,160.000,3850.000,210.000
20,0.192769,4,816.971,75.000,1321.107,85.000,2750.000,160.000,3850.000,210.000
21,0.202769,4,815.872,75.000,1354.212,85.000,2750.000,160.000,3850.000,210.000
22,0.212769,4,794.820,75.000,1317.977,85.000,2750.000,160.000,3850.000,210.000
23,0.222769,4,814.224,75.000,1330.125,85.000,2750.000,160.000,3850.000,210.000
24,0.232769,4,766.338,75.000,1293.477,85.000,2750.000,160.000,3850.000,210.000
25,0.242769,4,822.372,75.000,1394.917,85.000,2750.000,160.000,3850.000,210.000
26,0.252769,4,830.312,75.000,1319.242,85.000,2750.000,160.000,3850.000,210.000
27,0.262769,4,869.296,75.000,1351.794,85.000,2750.000,160.000,3850.000,210.000
28,0.272769,4,865.941,75.000,1299.660,85.000,2750.000,160.000,3850.000,210.000
29,0.282769,4,864.178,75.000,1372.762,85.000,2750.000,160.000,3850.000,210.000
30,0.292769,4,857.891,75.000,1399.343,85.000,2750.000,160.000,3850.000,210.000
31,0.302769,4,816.930,75.000,1412.768,85.000,2750.000,160.000,3850.000,210.000
32,0.312769,4,925.067,75.000,1438.693,85.000,2750.000,160.000,3850.000,210.000
33,0.322769,4,887.772,75.000,1504.993,85.000,2750.000,160.000,3850.000,210.000
34,0.332769,4,893.878,75.000,1519.194,85.000,2750.000,160.000,3850.000,210.000
35,0.342769,4,919.708,75.000,1525.639,85.000,2750.000,160.000,3850.000,210.000
36,0.352769,4,935.659,75.000,1545.583,85.000,2750.000,160.000,3850.000,210.000
37,0.362769,4,952.693,75.000,1602.065,85.000,2750.000,157.539,3850.000,205.782
38,0.372769,4,852.347,75.000,1657.259,85.000,2750.000,152.618,3850.000,197.345
39,0.382769,4,945.413,75.000,1732.776,85.000,2750.000,147.696,3850.000,188.908
40,0.392769,4,948.989,75.000,1684.771,85.000,2750.000,142.775,3850.000,180.471
41,0.402769,4,887.446,75.000,1592.922,85.000,2750.000,137.853,3850.000,172.034
42,0.412769,4,836.843,75.000,1587.357,85.000,2750.000,132.931,3850.000,163.597
43,0.422769,4,917.546,75.000,1903.548,85.000,2750.000,128.010,3850.000,155.160
44,0.432769,4,938.937,75.000,2013.728,85.000,2750.000,123.088,3850.000,146.723
45,0.442769,4,1012.921,75.000,1616.830,85.000,2750.000,118.167,3850.000,138.286
46,0.452769,4,877.821,75.000,1754.419,85.000,2750.000,113.245,3850.000,129.849
47,0.462769,4,814.908,75.000,1940.460,85.000,2750.000,108.324,3850.000,121.412
48,0.472769,4,871.434,75.000,1966.566,85.000,2750.000,103.402,3850.000,112.975
49,0.482769,4,929.796,75.000,1810.065,85.000,2750.000,98.480,3850.000,104.538
50,0.492769,4,776.586,75.000,1760.417,85.000,2750.000,93.559,3850.000,96.101
51,0.502769,4,925.401,75.000,1991.350,85.000,2750.000,90.000,3850.000,90.000
52,0.512769,4,901.443,75.000,1884.750,85.000,2750.000,90.000,3850.000,90.000
53,0.522769,4,937.012,75.000,1906.400,85.000,2750.000,90.000,3850.000,90.000
54,0.532769,4,1302.881,75.000,1967.833,85.000,2750.000,90.000,3850.000,90.000
55,0.542769,4,896.861,75.000,1824.393,85.000,2750.000,90.000,3850.000,90.000
56,0.552769,4,868.027,75.000,1719.338,85.000,2750.000,90.000,3850.000,90.000
57,0.562769,4,891.529,75.000,1773.139,85.000,2750.000,90.000,3850.000,90.000
58,0.572769,4,855.369,75.000,1903.075,85.000,2750.000,90.000,3850.000,90.000
59,0.582769,4,1013.227,75.000,1852.510,85.000,2750.000,90.000,3850.000,90.000
60,0.592769,4,878.898,75.000,1946.374,85.000,2750.000,90.000,3850.000,90.000
61,0.602769,4,1342.439,75.000,1910.404,85.000,2750.000,90.000,3850.000,90.000
62,0.612769,4,953.707,75.000,2001.777,85.000,2750.000,90.000,3850.000,90.000
63,0.622769,4,973.539,75.000,1959.237,85.000,2750.000,90.000,3850.000,90.000
64,0.632769,4,1217.301,75.000,2191.526,85.000,2750.000,90.000,3850.000,90.000
65,0.642769,4,1171.740,75.000,2331.791,85.000,2750.000,90.000,3850.000,90.000
66,0.652769,4,836.029,75.000,1830.297,85.000,2750.000,90.000,3850.000,90.000
67,0.662769,4,1002.403,75.000,1958.490,85.000,2750.000,90.000,3850.000,90.000
68,0.672769,4,1286.048,75.000,1882.755,85.000,2750.000,90.000,3850.000,90.000
69,0.682769,4,1372.064,75.000,1815.953,85.000,2750.000,90.000,3850.000,90.000
70,0.692769,4,1378.509,75.000,1824.688,85.000,2750.000,90.000,3850.000,90.000
71,0.702769,4,1378.509,75.000,1824.688,85.000,2750.000,90.000,3850.000,90.000
72,0.712769,4,1378.509,75.000,1824.688,85.000,2750.000,90.000,3850.000,90.000
